선수명,연도,투심_구사율,포심_구사율,커터_구사율,커브_구사율,슬라_구사율,첸접_구사율,싱커_구사율,포크_구사율,너클_구사율,기타_구사율,투심_피안타율,포심_피안타율,커터_피안타율,커브_피안타율,슬라_피안타율,첸접_피안타율,싱커_피안타율,포크_피안타율,너클_피안타율,기타_피안타율
최준용,2025,0.0,62.0,0.0,7.8,23.8,5.8,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.143,0.273,0.2,0.0,0.0,0.0,0.0
홍민기,2025,0.0,64.2,0.0,0.0,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.237,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
정철원,2025,0.0,45.7,0.0,0.1,44.3,0.0,0.0,9.6,0.0,0.0,0.0,0.313,0.0,0.0,0.205,0.0,0.0,0.294,0.0,0.0
정현수,2025,0.0,38.8,0.0,6.9,51.3,2.0,0.0,0.0,0.0,0.0,0.0,0.179,0.0,0.455,0.18,0.0,0.0,0.0,0.0,1.0
김원중,2025,0.0,42.0,0.0,1.2,6.0,0.0,0.0,50.4,0.0,0.0,0.0,0.214,0.0,1.0,0.0,0.0,0.0,0.176,0.0,0.0
이민석,2025,0.0,50.9,0.0,3.2,39.3,6.1,0.0,0.0,0.0,0.0,0.0,0.281,0.0,0.333,0.307,0.0,0.0,0.0,0.0,1.0
나균안,2025,0.0,39.9,14.7,6.8,0.0,0.0,0.0,38.4,0.0,0.0,0.0,0.314,0.395,0.471,0.0,0.0,0.0,0.229,0.0,0.0
