선수,날짜,연도,팀,보직,pbp_source_games,pbp_pitcher_ids,pbp_pitch_count,pbp_tracked_pitches,pbp_avg_velocity,pbp_hard_velocity,pbp_hard_usage,pbp_csw_rate,pbp_zone_rate,pbp_first_pitch_strike_rate,pbp_late_velocity_delta,pbp_high_pressure_share,pbp_entry_inning,pbp_entry_outs,pbp_entry_runners,pbp_entry_run_margin,pbp_entry_base_out_re,pbp_close_late_entry,pbp_hard_release_count,pbp_hard_release_side_ft,pbp_hard_release_height_ft,pbp_hard_release_dispersion_in,pbp_batters_faced,pbp_re24_allowed,pbp_re24_allowed_per_bf,pbp_pitch_count_difference
고영표,2023-04-02,2023,KT,RP,1,1,8,8,127.75,137.25,0.5,0.25,0.375,0.5,,1.0,11,1,2,0,1.580533,True,4,,,,2,-0.580533,-0.290267,0
고영표,2023-04-07,2023,KT,SP,1,1,80,80,124.7875,136.030303,0.4125,0.35,0.6125,0.72,-2.636364,0.0,1,0,0,2,0.559513,False,33,-2.07206,3.8173,1.798841,25,-2.916588,-0.116664,0
고영표,2023-04-12,2023,KT,SP,1,1,85,85,124.647059,134.634146,0.482353,0.364706,0.541176,0.76,-1.769231,0.0,1,0,0,1,0.559513,False,41,-2.08592,3.67508,1.412329,25,1.754636,0.070185,0
고영표,2023-04-18,2023,KT,SP,1,1,91,91,123.637363,133.897436,0.428571,0.285714,0.472527,0.766667,-3.076923,0.10989,1,0,0,0,0.559513,False,39,-2.12729,3.44092,2.086789,30,-1.916588,-0.063886,0
고영표,2023-04-23,2023,KT,SP,1,1,95,95,125.568421,135.046512,0.452632,0.357895,0.404255,0.714286,-2.642857,0.221053,1,0,0,0,0.559513,False,43,-2.33969,3.68968,1.779477,28,-2.916588,-0.104164,0
고영표,2023-04-29,2023,KT,SP,1,1,104,104,123.509615,131.210526,0.548077,0.278846,0.442308,0.774194,-1.157895,0.173077,1,0,0,0,0.559513,False,57,-2.32299,3.43663,1.875431,31,-1.916588,-0.061825,0
고영표,2023-05-12,2023,KT,SP,1,1,97,97,124.71134,133.693878,0.505155,0.319588,0.525773,0.666667,-2.3125,0.226804,1,0,0,0,0.559513,False,49,-2.17882,3.61932,1.659084,27,-3.476101,-0.128744,0
고영표,2023-05-18,2023,KT,SP,1,1,82,82,127.963415,134.803922,0.621951,0.219512,0.609756,0.724138,-2.117647,0.0,1,0,0,1,0.559513,False,51,-2.17673,3.68348,1.806237,29,5.843857,0.201512,0
고영표,2023-05-24,2023,KT,SP,1,1,88,88,125.465909,133.666667,0.545455,0.284091,0.545455,0.708333,-3.0625,0.0,1,0,0,0,0.559513,False,48,-2.239355,3.86378,2.028847,24,-3.916588,-0.163191,0
고영표,2023-05-30,2023,KT,SP,1,1,36,36,126.527778,135.368421,0.527778,0.361111,0.5,0.666667,-1.0,0.0,1,0,0,0,0.559513,False,19,-2.32742,3.66561,1.737542,12,1.880975,0.156748,0
