PlayerName,Height,Weight,BirthYear
최지강,180cm,88kg,2001
최원준,182cm,91kg,1994
홍민규,183cm,87kg,2006
김명신,178cm,90kg,1993
김택연,181cm,88kg,2005
고효준,179cm,81kg,1983
이영하,192cm,91kg,1997
박치국,177cm,78kg,1998
박정수,178cm,74kg,1996
박신지,185cm,75kg,1999
