PlayerName,Height,Weight,BirthYear
최동환,184cm,83kg,1989
쿠에바스,188cm,98kg,1990
헤이수스,192cm,104kg,1996
김민수,188cm,80kg,1992
고영표,187cm,88kg,1991
이채호,185cm,85kg,1998
이상동,181cm,88kg,1995
문용익,178cm,93kg,1995
오원석,182cm,80kg,2001
박영현,183cm,91kg,2003
소형준,189cm,92kg,2001
원상현,183cm,83kg,2004
우규민,184cm,75kg,1985
