선수,연도,팀,보직,나이,키,몸무게,날짜,구장,온도,ERA,WHIP,이닝,누적이닝,총이닝,투구수,실점,자책점,피안타,피홈런,탈삼진,볼넷,사구,K/BB,연투여부,휴식일수,연투일수,연투횟수,WBC_2023,올림픽_2021,아시안게임_2023,아시아챔피언십_2023,아시아선수권_2023,프리미어12_2019,PS_KS,PS_PO,PS_SP,PS_V,PS_WC,이동거리,총이동거리,누적이동거리,직구_피안타율,직구_구사율,변화구_구사율,FIP,FIP_변화량,평균_FIP,GS,평균_GS,GS_변화량,평균_ERA,ERA_변화량,구속,평균_구속,구속_변화량,부상위험도,피쳐타입,NP/IP,NP/IP_roll3,투구수_roll3,이닝_roll3,변화구_구사율_roll3,직구_구사율_roll3,연투여부_prev,휴식일수_prev,연투일수_prev,연투횟수_prev,누적연투일수,휴식_log,연투_log,휴식대연투비율,연투횟수_roll3,연투일수_roll3,휴식_inv,피로도지수,피로도지수_점수,혹사정도,회복실패여부,휴식_그룹
고영표,2021,KT,SP,34,187,88,2021-06-16,Away,23.1,4.5,1.0,6.0,68.66666667,166.6666667,97,3,3,5,1,7,1,0,7.0,False,7,1,0,True,True,False,False,False,False,False,False,False,False,False,0,9390,3411,0.254,28.0,72.0,3.503,0.347230769,3.155769231,71,72.96153846,-1.961538462,3.343846154,1.156153846,137.1,137.3565217,-0.256521739,,변화구,16.16666667,46.7,290,18.66666667,72.0,28.0,False,6.0,1.0,0.0,1,1.945910149,0.693147181,3.0,0.0,1.0,-6.0,-0.2535873844932771,41.12277498858968,3.229075996,0,회복충분
고영표,2021,KT,SP,34,187,88,2021-06-23,Home,25.6,2.57,0.57,7.0,75.66666667,166.6666667,95,2,2,3,0,4,1,1,4.0,False,6,1,0,True,True,False,False,False,False,False,False,False,False,False,0,9390,3741,0.254,28.0,72.0,2.884,-0.271769231,3.155769231,79,72.96153846,6.038461538,3.343846154,-0.773846154,138.4,137.3565217,1.043478261,,변화구,13.57142857,45.57142857,287,19.0,72.0,28.0,False,7.0,1.0,0.0,1,2.079441542,0.693147181,3.5,0.0,1.0,-7.0,-0.4817247313055511,21.12619808306709,3.214822008,0,회복충분
고영표,2021,KT,SP,34,187,88,2021-06-30,Away,28.5,3.86,0.71,7.0,82.66666667,166.6666667,87,3,3,4,1,1,1,0,1.0,False,6,1,0,True,True,False,False,False,False,False,False,False,False,False,0,9390,4038,0.254,28.0,72.0,5.17,2.014230769,3.155769231,72,72.96153846,-0.961538462,3.343846154,0.516153846,139.6,137.3565217,2.243478261,,변화구,12.42857143,42.16666667,279,20.0,72.0,28.0,False,6.0,1.0,0.0,1,1.945910149,0.693147181,3.0,0.0,1.0,-6.0,-0.5698779102363671,15.004564125969877,3.129192325,0,회복충분
고영표,2021,KT,SP,34,187,88,2021-07-09,Away,30.3,16.2,3.0,3.333333333,86.0,166.6666667,75,6,6,8,0,2,2,0,1.0,False,8,1,0,True,True,False,False,False,False,False,False,False,False,False,225,9390,4570,0.254,28.0,72.0,3.77,0.614230769,3.155769231,44,72.96153846,-28.96153846,3.343846154,12.85615385,139.1,137.3565217,1.743478261,,변화구,22.5,48.5,257,17.33333333,72.0,28.0,False,6.0,1.0,0.0,1,1.945910149,0.693147181,3.0,0.0,1.0,-6.0,0.2822933783125236,76.34641716111365,2.861964666,0,회복충분
고영표,2021,KT,SP,34,187,88,2021-08-15,Home,30.4,6.0,1.33,6.0,92.0,166.6666667,96,4,4,5,0,2,3,1,0.666666667,False,36,1,0,True,True,False,False,False,False,False,False,False,False,False,0,9390,4925,0.254,28.0,72.0,4.503,1.347230769,3.155769231,63,72.96153846,-9.961538462,3.343846154,2.656153846,136.6,137.3565217,-0.756521739,,변화구,16.0,50.92857143,258,16.33333333,72.0,28.0,False,8.0,1.0,0.0,1,2.197224577,0.693147181,4.0,0.0,1.0,-8.0,-0.284783727926607,38.36147877681424,2.788584292,0,회복충분
고영표,2021,KT,SP,34,187,88,2021-08-22,Away,29.3,0.0,0.43,7.0,99.0,166.6666667,97,0,0,2,0,4,1,1,4.0,False,6,1,0,True,True,False,False,False,False,False,False,False,False,False,0,9390,5293,0.254,28.0,72.0,2.884,-0.271769231,3.155769231,82,72.96153846,9.038461538,3.343846154,-3.343846154,139.2,137.3565217,1.843478261,,변화구,13.85714286,52.35714286,268,16.33333333,72.0,28.0,False,36.0,1.0,0.0,1,3.610917913,0.693147181,18.0,0.0,1.0,-36.0,-0.705415817123544,8.004335919671384,3.011451511,0,회복충분
고영표,2021,KT,SP,34,187,88,2021-08-27,Home,24.5,4.5,1.5,6.0,105.0,166.6666667,98,3,3,6,0,7,3,0,2.333333333,False,4,1,0,True,True,False,False,False,False,False,False,False,False,False,0,9390,5661,0.254,28.0,72.0,2.337,-0.818769231,3.155769231,68,72.96153846,-4.961538462,3.343846154,1.156153846,138.0,137.3565217,0.643478261,,변화구,16.33333333,46.19047619,291,19.0,72.0,28.0,False,6.0,1.0,0.0,1,1.945910149,0.693147181,3.0,0.0,1.0,-6.0,-0.2394852597129454,42.34938384299407,4.314779706,1,회복실패
고영표,2021,KT,SP,34,187,88,2021-09-04,Away,26.8,0.0,0.5,8.0,113.0,166.6666667,90,1,0,4,0,4,0,0,inf,False,7,1,0,True,True,False,False,False,False,False,False,False,False,False,24,9390,5993,0.254,28.0,72.0,2.17,-0.985769231,3.155769231,88,72.96153846,15.03846154,3.343846154,-3.343846154,,137.3565217,,,변화구,11.25,41.44047619,285,21.0,72.0,28.0,False,4.0,1.0,0.0,1,1.609437912,0.693147181,2.0,0.0,1.0,-4.0,-0.6525058646287489,10.406207211319032,3.175557444,0,회복충분
고영표,2021,KT,SP,34,187,88,2021-09-12,Home,28.4,0.0,0.78,9.0,122.0,166.6666667,103,0,0,7,0,7,0,0,inf,False,7,1,0,True,True,False,False,False,False,False,False,False,False,False,0,9390,6576,0.254,28.0,72.0,1.614,-1.541769231,3.155769231,94,72.96153846,21.03846154,3.343846154,-3.343846154,136.1,137.3565217,-1.256521739,,변화구,11.44444444,39.02777778,291,23.0,72.0,28.0,False,7.0,1.0,0.0,1,2.079441542,0.693147181,3.5,0.0,1.0,-7.0,-0.6616947121466248,9.978320401643083,3.239779706,0,회복충분
고영표,2021,KT,SP,34,187,88,2021-09-18,Away,25.5,1.08,0.72,8.333333333,130.3333333,166.6666667,107,1,1,6,0,2,0,0,inf,False,5,1,0,True,True,False,False,False,False,False,False,False,False,False,330,9390,6968,0.254,28.0,72.0,2.69,-0.465769231,3.155769231,85,72.96153846,12.03846154,3.343846154,-2.263846154,139.6,137.3565217,2.243478261,,변화구,12.84,35.53444444,300,25.33333333,72.0,28.0,False,7.0,1.0,0.0,1,2.079441542,0.693147181,3.5,0.0,1.0,-7.0,-0.5436129155533169,16.898676403468734,3.377779766,0,회복실패
