이름,연도,팀,보직,나이,키,몸무게,날짜,구장,온도,ERA,WHIP,이닝,누적이닝,총이닝,투구수,실점,자책점,피안타,피홈런,탈삼진,볼넷,사구,K/BB,연투여부,휴식일수,연투일수,연투횟수,WBC_2023,올림픽_2021,아시안게임_2023,아시아챔피언십_2023,아시아선수권_2023,프리미어12_2019,PS_KS,PS_PO,PS_SP,PS_V,PS_WC,이동거리,총이동거리,누적이동거리,직구_피안타율,직구_구사율,변화구_구사율,FIP,FIP_변화량,평균_FIP,GS,평균_GS,GS_변화량,평균_ERA,ERA_변화량,구속,평균_구속,구속_변화량,부상위험도
고영표,2021,KT,SP,34,187,88,2021-07-09,Away,30.3,16.2,3,3.333333333,86,166.6666667,75,6,6,8,0,2,2,0,1,FALSE,8,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,225,9390,4570,0.254,28,72,3.77,0.614230769,3.155769231,44,72.96153846,-28.96153846,3.343846154,12.85615385,139.1,137.3565217,1.743478261,
고영표,2021,KT,SP,34,187,88,2021-08-15,Home,30.4,6,1.33,6,92,166.6666667,96,4,4,5,0,2,3,1,0.666666667,FALSE,36,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,9390,4925,0.254,28,72,4.503,1.347230769,3.155769231,63,72.96153846,-9.961538462,3.343846154,2.656153846,136.6,137.3565217,-0.756521739,
고영표,2021,KT,SP,34,187,88,2021-08-22,Away,29.3,0,0.43,7,99,166.6666667,97,0,0,2,0,4,1,1,4,FALSE,6,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,9390,5293,0.254,28,72,2.884,-0.271769231,3.155769231,82,72.96153846,9.038461538,3.343846154,-3.343846154,139.2,137.3565217,1.843478261,
고영표,2021,KT,SP,34,187,88,2021-08-27,Home,24.5,4.5,1.5,6,105,166.6666667,98,3,3,6,0,7,3,0,2.333333333,FALSE,4,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,9390,5661,0.254,28,72,2.337,-0.818769231,3.155769231,68,72.96153846,-4.961538462,3.343846154,1.156153846,138,137.3565217,0.643478261,
고영표,2021,KT,SP,34,187,88,2021-09-04,Away,26.8,0,0.5,8,113,166.6666667,90,1,0,4,0,4,0,0,inf,FALSE,7,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24,9390,5993,0.254,28,72,2.17,-0.985769231,3.155769231,88,72.96153846,15.03846154,3.343846154,-3.343846154,,137.3565217,,
고영표,2021,KT,SP,34,187,88,2021-09-12,Home,28.4,0,0.78,9,122,166.6666667,103,0,0,7,0,7,0,0,inf,FALSE,7,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,9390,6576,0.254,28,72,1.614,-1.541769231,3.155769231,94,72.96153846,21.03846154,3.343846154,-3.343846154,136.1,137.3565217,-1.256521739,
고영표,2021,KT,SP,34,187,88,2021-09-18,Away,25.5,1.08,0.72,8.333333333,130.3333333,166.6666667,107,1,1,6,0,2,0,0,inf,FALSE,5,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,330,9390,6968,0.254,28,72,2.69,-0.465769231,3.155769231,85,72.96153846,12.03846154,3.343846154,-2.263846154,139.6,137.3565217,2.243478261,
고영표,2021,KT,SP,34,187,88,2021-09-25,Home,24.5,0,0.63,8,138.3333333,166.6666667,105,0,0,3,0,6,2,0,3,FALSE,6,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,9390,7447,0.254,28,72,2.42,-0.735769231,3.155769231,87,72.96153846,14.03846154,3.343846154,-3.343846154,138.7,137.3565217,1.343478261,
고영표,2021,KT,SP,34,187,88,2021-10-01,Away,23.1,0,1.5,6,144.3333333,166.6666667,103,3,0,9,0,5,0,1,inf,FALSE,5,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,9390,7815,0.254,28,72,2.003,-1.152769231,3.155769231,72,72.96153846,-0.961538462,3.343846154,-3.343846154,,137.3565217,,
고영표,2021,KT,SP,34,187,88,2021-10-09,Away,24,4.5,1.33,6,150.3333333,166.6666667,84,3,3,8,2,5,0,0,inf,FALSE,7,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31,9390,8290,0.254,28,72,5.837,2.681230769,3.155769231,66,72.96153846,-6.961538462,3.343846154,1.156153846,139.4,137.3565217,2.043478261,
고영표,2021,KT,SP,34,187,88,2021-10-22,Away,14.6,6,1.83,6,156.3333333,166.6666667,99,4,4,9,0,7,2,0,3.5,FALSE,12,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,225,9390,9083,0.254,28,72,1.837,-1.318769231,3.155769231,66,72.96153846,-6.961538462,3.343846154,2.656153846,137,137.3565217,-0.356521739,
고영표,2021,KT,SP,34,187,88,2021-10-28,Home,16.2,1.23,1.23,7.333333333,163.6666667,166.6666667,109,1,1,8,0,11,1,0,11,FALSE,5,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,9390,9359,0.254,28,72,0.579,-2.576769231,3.155769231,84,72.96153846,11.03846154,3.343846154,-2.113846154,,137.3565217,,
고영표,2021,KT,RP,34,187,88,2021-10-30,Away,17.3,3,1.33,3,166.6666667,166.6666667,42,1,1,4,1,4,0,0,inf,FALSE,1,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25,9390,9412,0.254,28,72,4.837,1.681230769,3.155769231,55,72.96153846,-17.96153846,3.343846154,-0.343846154,139.7,137.3565217,2.343478261,
고영표,2022,KT,SP,34,187,88,2022-04-06,Home,12.7,3.38,0.63,8,8,182.3333333,99,3,3,5,1,10,0,1,inf,FALSE,0,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,9299,0,0,0.6,99.4,2.612,0.0335714286,2.578428571,88,73.32142857,14.67857143,3.735357143,-0.355357143,135.6,137.5333333,-1.933333333,
