Name,Team,Year,Date,Opp,Role,Dec,ERA,WHIP,IP,NP,R,ER,H,HR,SO,BB,HB,GS,Venue,Stadium,Time,Temp
최원태,Samsung,2025,2025-05-29,vs. Lotte,SP,W,3.6,1.4,5,98,2,2,3,2,7,4,1,55.0,Home,대구 삼성 라이온즈 파크,18:30,19.2
최원태,Samsung,2025,2025-05-17,@ Lotte,SP,,15.0,2.0,3,55,5,5,5,0,3,1,1,30.0,Away,사직 야구장,17:00,20.9
최원태,Samsung,2025,2025-05-11,vs. LG,SP,,3.38,1.31,5 ⅓,94,3,2,4,0,4,3,0,51.0,Home,대구 삼성 라이온즈 파크,14:00,17.9
최원태,Samsung,2025,2025-05-05,@ Hanwha,SP,L,2.84,1.11,6 ⅓,92,2,2,6,1,8,1,0,60.0,Away,대전 한화생명 볼파크,14:00,15.7
최원태,Samsung,2025,2025-04-29,@ SSG,SP,,1.42,0.79,6 ⅓,96,1,1,3,0,6,2,0,67.0,Away,인천 SSG 랜더스필드,18:30,14.9
최원태,Samsung,2025,2025-04-23,vs. Kia,SP,W,3.38,1.69,5 ⅓,96,2,2,7,0,5,2,0,49.0,Home,대구 삼성 라이온즈 파크,18:30,13.9
최원태,Samsung,2025,2025-04-16,@ LG,SP,L,16.2,3.0,3 ⅓,73,6,6,6,1,2,4,0,22.0,Away,잠실 야구장,18:30,21.1
최원태,Samsung,2025,2025-04-08,vs. SSG,SP,W,3.6,2.2,5,104,2,2,6,0,3,5,0,45.0,Home,대구 삼성 라이온즈 파크,18:30,17.3
최원태,Samsung,2025,2025-04-02,@ Kia,SP,,3.0,1.17,6,110,2,2,4,1,9,3,0,62.0,Away,광주 기아 챔피언스 필드,18:30,10.3
최원태,Samsung,2025,2025-03-25,vs. NC,SP,W,7.2,1.8,5,83,4,4,6,0,4,3,1,39.0,Home,대구 삼성 라이온즈 파크,18:30,15.7
김대호,Samsung,2025,2025-07-08,@ NC,RP,,0.0,0.0,1,14,0,0,0,0,2,0,0,,Away,창원 NC 파크,18:30,32.8
김대호,Samsung,2025,2025-06-20,@ Lotte,SP,L,4.91,1.36,3 ⅔,62,2,2,3,0,1,2,0,46.0,Away,사직 야구장,18:30,26.5
김대호,Samsung,2025,2025-06-15,vs. KT,RP,,3.0,0.67,3,41,1,1,2,1,5,0,0,,Home,대구 삼성 라이온즈 파크,17:00,25.2
김대호,Samsung,2025,2025-06-14,vs. KT,RP,,0.0,1.0,1,17,0,0,1,0,0,0,0,,Home,대구 삼성 라이온즈 파크,17:00,24.0
김대호,Samsung,2025,2025-04-25,vs. NC,SP,,27.0,6.0,0 ⅔,27,2,2,0,0,0,4,1,39.0,Home,대구 삼성 라이온즈 파크,18:30,16.8
김대호,Samsung,2025,2025-04-19,vs. Lotte,SP,,0.0,1.88,2 ⅔,51,0,0,2,0,2,3,0,53.0,Home,대구 삼성 라이온즈 파크,17:00,18.4
김대호,Samsung,2025,2025-03-27,vs. NC,SP,,7.36,2.45,3 ⅔,69,4,3,6,1,4,3,0,36.0,Home,대구 삼성 라이온즈 파크,18:30,17.1
김재윤,Samsung,2025,2025-07-10,@ NC,RP,H,0.0,0.0,0 ⅓,4,0,0,0,0,0,0,0,,Away,창원 NC 파크,18:30,30.5
김재윤,Samsung,2025,2025-07-08,@ NC,RP,,13.5,3.0,0 ⅔,16,1,1,2,0,0,0,0,,Away,창원 NC 파크,18:30,32.8
김재윤,Samsung,2025,2025-06-26,vs. Hanwha,RP,,27.0,3.0,0 ⅓,7,1,1,1,0,0,0,0,,Home,대구 삼성 라이온즈 파크,18:30,24.9
김재윤,Samsung,2025,2025-06-22,@ Lotte,RP,,0.0,1.5,0 ⅔,18,0,0,1,0,0,0,0,,Away,사직 야구장,17:00,23.3
김재윤,Samsung,2025,2025-06-20,@ Lotte,RP,,9.0,1.0,1,17,1,1,1,1,2,0,0,,Away,사직 야구장,18:30,26.5
김재윤,Samsung,2025,2025-06-18,vs. Doosan,RP,W,0.0,0.0,0 ⅓,10,0,0,0,0,1,0,0,,Home,대구 삼성 라이온즈 파크,18:30,23.1
김재윤,Samsung,2025,2025-06-17,vs. Doosan,RP,,9.0,1.0,1,13,1,1,1,1,1,0,0,,Home,대구 삼성 라이온즈 파크,18:30,25.3
김재윤,Samsung,2025,2025-06-11,@ Kia,RP,L,0.0,3.0,0 ⅔,17,2,0,1,0,0,1,0,,Away,광주 기아 챔피언스 필드,18:30,27.1
김재윤,Samsung,2025,2025-06-10,@ Kia,RP,,0.0,0.0,1,9,0,0,0,0,1,0,0,,Away,광주 기아 챔피언스 필드,18:30,25.4
김재윤,Samsung,2025,2025-06-07,vs. NC,RP,,27.0,4.5,0 ⅔,21,2,2,3,0,1,0,0,,Home,대구 삼성 라이온즈 파크,17:00,23.6
김재윤,Samsung,2025,2025-06-03,@ SSG,RP,,0.0,0.0,1 ⅓,17,0,0,0,0,2,0,0,,Away,인천 SSG 랜더스필드,18:30,20.9
김재윤,Samsung,2025,2025-05-31,@ LG,RP,H,0.0,0.5,2,18,0,0,1,0,2,0,0,,Away,잠실 야구장,17:00,25.6
