선수명,연도,투심_구사율,포심_구사율,커터_구사율,커브_구사율,슬라_구사율,첸접_구사율,싱커_구사율,포크_구사율,너클_구사율,기타_구사율,투심_피안타율,포심_피안타율,커터_피안타율,커브_피안타율,슬라_피안타율,첸접_피안타율,싱커_피안타율,포크_피안타율,너클_피안타율,기타_피안타율
한재승,2022,0.0,63.5,0.0,16.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.381,0.0,0.429,0.143,0.0,0.0,0.0,0.0,0.0
한재승,2023,0.0,64.5,0.0,0.0,29.5,0.0,0.0,6.0,0.0,0.0,0.0,0.25,0.0,0.0,0.2,0.0,0.0,0.25,0.0,0.0
한재승,2024,0.0,57.9,0.0,0.0,37.5,0.0,0.0,4.5,0.0,0.0,0.0,0.228,0.0,0.0,0.221,0.0,0.0,0.143,0.0,0.0
전루건,2022,0.0,53.2,0.0,3.7,30.5,0.0,0.0,12.6,0.0,0.0,0.0,0.381,0.0,0.5,0.462,0.0,0.0,0.286,0.0,0.0
전루건,2024,0.0,57.5,0.0,0.0,32.8,0.0,0.0,9.8,0.0,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0
김재열,2020,0.0,62.4,0.0,13.2,22.7,0.0,0.0,1.7,0.0,0.0,0.0,0.327,0.0,0.25,0.222,0.0,0.0,1.0,0.0,0.0
김재열,2021,0.0,70.4,0.0,14.6,13.0,0.0,0.2,1.8,0.0,0.0,0.0,0.25,0.0,0.154,0.231,0.0,0.0,0.0,0.0,0.0
김재열,2022,0.0,62.9,0.0,20.7,4.5,0.0,0.0,11.6,0.0,0.0,0.0,0.318,0.0,0.061,0.571,0.0,0.0,0.235,0.0,0.0
김재열,2023,0.0,56.3,0.0,20.1,6.3,0.0,0.0,17.1,0.0,0.0,0.0,0.406,0.0,0.286,0.333,0.0,0.0,0.3,0.0,0.0
김재열,2024,0.0,33.4,0.0,15.2,18.1,0.0,0.0,33.2,0.0,0.0,0.0,0.294,0.0,0.286,0.167,0.0,0.0,0.19,0.0,0.0
김진호,2020,10.8,44.8,0.0,6.2,0.0,38.1,0.0,0.0,0.0,0.0,0.667,0.261,0.0,1.0,0.0,0.278,0.0,0.0,0.0,0.0
김진호,2021,0.0,63.6,0.0,9.1,0.0,27.3,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
김진호,2022,0.1,55.2,0.0,0.0,5.0,39.4,0.0,0.0,0.0,0.0,0.0,0.358,0.0,0.0,0.5,0.212,0.0,0.0,0.0,1.0
김진호,2023,1.0,60.2,0.0,0.0,3.8,35.0,0.0,0.0,0.0,0.0,0.0,0.212,0.0,0.0,0.5,0.269,0.0,0.0,0.0,0.0
김진호,2024,0.0,65.4,0.0,0.0,1.9,32.7,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
김민규,2024,58.9,7.1,0.0,0.9,19.6,13.4,0.0,0.0,0.0,0.0,0.231,0.0,0.0,0.0,0.571,0.5,0.0,0.0,0.0,0.0
