score_decile,n,WHIP,ERA,FIP,GS
1,1733,1.0,0.0,3.166,45.0
2,1731,1.0,0.0,3.166,46.0
3,1733,1.17,0.0,3.17,46.0
4,1735,1.17,0.0,3.17,47.0
5,1729,1.17,0.0,3.17,47.0
6,1731,1.14,0.0,3.17,46.0
7,1727,1.2,0.0,3.191,46.0
8,1719,1.2,0.0,3.17,46.0
9,1727,1.0,0.0,3.17,45.0
10,1711,1.0,0.0,3.17,45.0
